table,command,rls_enabled,policy_count,allowing_policies
public.admin_audit_log,SELECT,true,1,Admins can read audit log [anon authenticated public service_role]
public.admin_audit_log,INSERT,true,2,Admins can insert audit log [anon authenticated public service_role]; Service role can insert audit log [anon authenticated public service_role]
public.admin_audit_log,UPDATE,true,0,
public.admin_audit_log,DELETE,true,0,
public.club_followers,SELECT,true,1,Anyone can view follower data [anon authenticated public service_role]
public.club_followers,INSERT,true,1,Authenticated users can follow clubs [authenticated]
public.club_followers,UPDATE,true,0,
public.club_followers,DELETE,true,1,Authenticated users can unfollow clubs [authenticated]
public.club_invitations,SELECT,true,1,Club owners can view club invitations [authenticated]
public.club_invitations,INSERT,true,1,Club owners can create club invitations [authenticated]
public.club_invitations,UPDATE,true,0,
public.club_invitations,DELETE,true,0,
public.club_members,SELECT,true,3,Admins manage memberships [authenticated]; Club owners can view all club members [authenticated]; Users see own memberships [authenticated]
public.club_members,INSERT,true,1,Admins manage memberships [authenticated]
public.club_members,UPDATE,true,1,Admins manage memberships [authenticated]
public.club_members,DELETE,true,2,Admins manage memberships [authenticated]; Club owners can remove members [authenticated]
public.clubs,SELECT,true,1,Anyone can read clubs [anon authenticated public service_role]
public.clubs,INSERT,true,1,Admins can insert clubs [authenticated]
public.clubs,UPDATE,true,1,Admins can update clubs [authenticated]
public.clubs,DELETE,true,0,
public.email_reminder_log,SELECT,true,2,Service role can manage reminder log [service_role]; Users can view their own reminder log [anon authenticated public service_role]
public.email_reminder_log,INSERT,true,1,Service role can manage reminder log [service_role]
public.email_reminder_log,UPDATE,true,1,Service role can manage reminder log [service_role]
public.email_reminder_log,DELETE,true,1,Service role can manage reminder log [service_role]
public.event_invites,SELECT,true,1,Users can view own invites [anon authenticated public service_role]
public.event_invites,INSERT,true,1,Users can send invites [anon authenticated public service_role]
public.event_invites,UPDATE,true,0,
public.event_invites,DELETE,true,2,Users can delete invites sent to them [anon authenticated public service_role]; Users can delete own sent invites [anon authenticated public service_role]
public.event_popularity_scores,SELECT,true,3,Allow public read access to event_popularity_scores [anon authenticated public service_role]; Anyone can view popularity scores [anon authenticated public service_role]; Authenticated users can update popularity scores [anon authenticated public service_role]
public.event_popularity_scores,INSERT,true,1,Authenticated users can update popularity scores [anon authenticated public service_role]
public.event_popularity_scores,UPDATE,true,1,Authenticated users can update popularity scores [anon authenticated public service_role]
public.event_popularity_scores,DELETE,true,1,Authenticated users can update popularity scores [anon authenticated public service_role]
public.event_reports,SELECT,true,2,Admins can read all reports [authenticated]; Users can read own reports [authenticated]
public.event_reports,INSERT,true,1,Users can insert own reports [authenticated]
public.event_reports,UPDATE,true,1,Admins can update reports [authenticated]
public.event_reports,DELETE,true,0,
public.events,SELECT,true,3,Admins can view all events [authenticated]; Approved events are viewable by everyone [anon authenticated public service_role]; Organizers can view own events [authenticated]
public.events,INSERT,true,1,Authenticated users can insert events [authenticated]
public.events,UPDATE,true,2,Admins can update any event [authenticated]; Organizers can update own events [authenticated]
public.events,DELETE,true,1,Admins can delete events [authenticated]
public.experiment_assignments,SELECT,true,2,Admins can manage experiment assignments [anon authenticated public service_role]; Users can read own assignments [anon authenticated public service_role]
public.experiment_assignments,INSERT,true,1,Admins can manage experiment assignments [anon authenticated public service_role]
public.experiment_assignments,UPDATE,true,1,Admins can manage experiment assignments [anon authenticated public service_role]
public.experiment_assignments,DELETE,true,1,Admins can manage experiment assignments [anon authenticated public service_role]
