table,command,anon,authenticated,public,service_role
public.admin_audit_log,SELECT,allow,allow,allow,allow
public.admin_audit_log,INSERT,allow,allow,allow,allow
public.admin_audit_log,UPDATE,deny,deny,deny,deny
public.admin_audit_log,DELETE,deny,deny,deny,deny
public.club_followers,SELECT,allow,allow,allow,allow
public.club_followers,INSERT,deny,allow,deny,deny
public.club_followers,UPDATE,deny,deny,deny,deny
public.club_followers,DELETE,deny,allow,deny,deny
public.club_invitations,SELECT,deny,allow,deny,deny
public.club_invitations,INSERT,deny,allow,deny,deny
public.club_invitations,UPDATE,deny,deny,deny,deny
public.club_invitations,DELETE,deny,deny,deny,deny
public.club_members,SELECT,deny,allow,deny,deny
public.club_members,INSERT,deny,allow,deny,deny
public.club_members,UPDATE,deny,allow,deny,deny
public.club_members,DELETE,deny,allow,deny,deny
public.clubs,SELECT,allow,allow,allow,allow
public.clubs,INSERT,deny,allow,deny,deny
public.clubs,UPDATE,deny,allow,deny,deny
public.clubs,DELETE,deny,deny,deny,deny
public.email_reminder_log,SELECT,allow,allow,allow,allow
public.email_reminder_log,INSERT,deny,deny,deny,allow
public.email_reminder_log,UPDATE,deny,deny,deny,allow
public.email_reminder_log,DELETE,deny,deny,deny,allow
public.event_invites,SELECT,allow,allow,allow,allow
public.event_invites,INSERT,allow,allow,allow,allow
public.event_invites,UPDATE,deny,deny,deny,deny
public.event_invites,DELETE,allow,allow,allow,allow
public.event_popularity_scores,SELECT,allow,allow,allow,allow
public.event_popularity_scores,INSERT,allow,allow,allow,allow
public.event_popularity_scores,UPDATE,allow,allow,allow,allow
public.event_popularity_scores,DELETE,allow,allow,allow,allow
public.event_reports,SELECT,deny,allow,deny,deny
public.event_reports,INSERT,deny,allow,deny,deny
public.event_reports,UPDATE,deny,allow,deny,deny
public.event_reports,DELETE,deny,deny,deny,deny
public.events,SELECT,allow,allow,allow,allow
public.events,INSERT,deny,allow,deny,deny
public.events,UPDATE,deny,allow,deny,deny
public.events,DELETE,deny,allow,deny,deny
